Time,Person_Number

2019-07-30 08:51:53,22
2019-07-30 08:53:10,7
2019-07-30 08:54:10,6
2019-07-30 08:55:10,6
2019-07-30 08:56:10,1
2019-07-30 08:57:10,20
2019-07-30 08:58:10,21
2019-07-30 08:59:10,23
2019-07-30 09:00:10,20
2019-07-30 09:01:10,18
2019-07-30 09:02:10,37
2019-07-30 09:03:10,74
2019-07-30 09:04:10,30
2019-07-30 09:05:10,19
2019-07-30 09:06:10,42
2019-07-30 09:40:12,6
2019-07-30 09:41:12,9
2019-07-30 09:42:12,0
2019-07-30 09:43:12,16
2019-07-30 09:44:12,0
2019-07-30 09:45:12,3
2019-07-30 09:46:12,8
2019-07-30 09:47:12,3
2019-07-30 09:48:12,5
2019-07-30 09:49:12,2
2019-07-30 09:50:12,0
2019-07-30 09:51:12,0
2019-07-30 09:52:12,4
2019-07-30 09:53:12,0
2019-07-30 09:54:12,22
2019-07-30 09:55:12,23
2019-07-30 09:56:12,4
2019-07-30 09:57:12,36
2019-07-30 09:58:12,65
2019-07-30 09:59:12,66
2019-07-30 10:00:12,61
2019-07-30 10:10:37,50
2019-07-30 10:11:37,73
2019-07-30 10:12:37,13
2019-07-30 10:13:37,1
2019-07-30 10:14:37,10
2019-07-30 10:15:37,0
2019-07-30 10:16:37,0
2019-07-30 10:17:37,0
2019-07-30 10:18:37,11
2019-07-30 10:19:37,0
2019-07-30 10:20:37,0
2019-07-30 10:21:37,8
2019-07-30 10:22:37,39
2019-07-30 10:23:37,64
2019-07-30 10:24:37,41
2019-07-30 10:25:37,42
2019-07-30 10:26:37,36
2019-07-30 10:27:37,7
2019-07-30 10:28:37,27
2019-07-30 10:29:37,6
2019-07-30 10:30:37,0
2019-07-30 10:31:37,14
2019-07-30 10:32:38,20
2019-07-30 10:33:38,10
2019-07-30 10:34:38,51
2019-07-30 10:35:38,14
2019-07-30 11:34:53,9
2019-07-30 11:35:54,0
2019-07-30 11:36:54,1
2019-07-30 11:41:36,11
2019-07-30 11:42:36,23
2019-07-30 11:43:36,93
2019-07-30 11:44:36,76
2019-07-30 11:45:36,35
2019-07-30 11:46:36,31
2019-07-30 11:47:36,3
2019-07-30 11:48:36,5
2019-07-30 11:49:36,0
2019-07-30 11:50:36,8
2019-07-30 11:51:36,5
