Time,Person_Number
2019-07-27 11:57:02,20
2019-07-27 11:57:22,29
2019-07-27 11:57:42,9
2019-07-27 11:58:02,13
2019-07-27 11:58:22,3
2019-07-27 11:58:42,5
2019-07-27 11:59:03,15
2019-07-27 11:59:23,4
2019-07-27 12:01:25,30
2019-07-27 12:01:45,33
2019-07-27 12:02:05,25
2019-07-27 12:02:26,3
2019-07-27 12:02:46,7
2019-07-27 12:03:06,7
2019-07-27 12:03:26,13
2019-07-27 12:09:28,17
2019-07-27 12:10:08,0
2019-07-27 12:10:48,5
2019-07-27 12:11:28,19
2019-07-27 12:12:08,1
2019-07-27 12:12:48,0
2019-07-27 12:13:28,0
2019-07-27 12:14:08,24
2019-07-27 12:14:48,0
2019-07-27 12:15:28,0
2019-07-27 12:16:08,0
2019-07-27 12:16:49,0
2019-07-27 12:17:29,0
2019-07-27 12:18:09,13
2019-07-27 12:18:49,5
2019-07-27 12:19:29,0
2019-07-27 12:20:09,0
2019-07-27 12:20:49,0
2019-07-27 12:21:29,0
2019-07-27 12:22:09,0
2019-07-27 12:22:49,0
2019-07-27 12:23:29,0
2019-07-27 12:24:09,0
2019-07-27 12:24:49,0
2019-07-27 12:25:29,0
2019-07-27 12:26:09,0
2019-07-27 12:26:49,0
2019-07-27 12:27:29,0
2019-07-27 12:28:09,0
2019-07-27 12:28:49,2
2019-07-27 12:29:29,0
2019-07-27 12:30:09,0
2019-07-27 12:30:49,0
2019-07-27 12:31:29,0
2019-07-27 12:32:09,2
2019-07-27 12:32:49,0
2019-07-27 12:33:29,0
2019-07-27 12:34:09,0
2019-07-27 12:34:50,4
2019-07-27 12:35:30,16
2019-07-27 12:36:10,0
2019-07-27 12:36:50,0
2019-07-27 12:37:30,0
2019-07-27 12:38:10,0
2019-07-27 12:38:50,0
2019-07-27 12:39:30,0
2019-07-27 12:40:10,19
2019-07-27 12:40:50,0
2019-07-27 12:41:30,12
2019-07-27 12:42:10,0
2019-07-27 12:42:50,0
2019-07-27 12:43:30,8
2019-07-27 12:44:10,2
2019-07-27 12:44:50,0
2019-07-27 12:45:30,0
2019-07-27 12:46:10,0
