Time,Person_Number

2019-07-29 08:41:55,3
2019-07-29 08:42:55,0
2019-07-29 08:43:55,3
2019-07-29 08:44:55,31
2019-07-29 08:45:55,51
2019-07-29 08:46:55,21
2019-07-29 08:47:55,0
2019-07-29 08:48:55,0
2019-07-29 08:49:55,0
2019-07-29 08:50:55,2
2019-07-29 08:51:55,0
2019-07-29 08:52:55,12
2019-07-29 08:53:55,16
2019-07-29 08:54:55,18
2019-07-29 08:55:55,37
2019-07-29 08:56:56,25
2019-07-29 08:57:56,44
2019-07-29 08:58:56,69
2019-07-29 08:59:56,46
2019-07-29 09:00:56,8
2019-07-29 09:01:56,8
2019-07-29 09:02:56,0
2019-07-29 09:03:56,13
2019-07-29 09:04:56,38
2019-07-29 09:05:56,38
2019-07-29 09:06:56,12
2019-07-29 09:07:56,19
2019-07-29 09:08:56,10
2019-07-29 09:09:56,46
2019-07-29 09:10:56,22
2019-07-29 11:51:55,45
2019-07-29 11:52:55,5
2019-07-29 11:53:55,11
2019-07-29 11:54:55,30
2019-07-29 11:55:55,14
2019-07-29 11:56:55,38
2019-07-29 11:57:55,6
2019-07-29 11:58:55,2
2019-07-29 11:59:55,38
2019-07-29 12:00:55,44
2019-07-29 12:01:55,69
2019-07-29 12:02:55,96
2019-07-29 12:03:55,92
2019-07-29 12:04:55,70
2019-07-29 12:05:55,25
2019-07-29 12:06:55,13
2019-07-29 12:07:55,2
2019-07-29 12:08:55,5
2019-07-29 12:09:55,13
2019-07-29 12:10:56,27
2019-07-29 12:11:56,3
2019-07-29 12:12:56,0
2019-07-29 12:13:56,3
2019-07-29 12:14:56,0
2019-07-29 12:15:56,0
2019-07-29 12:16:56,0
2019-07-29 12:17:56,0
2019-07-29 12:18:56,0
2019-07-29 12:19:56,29
2019-07-29 12:20:56,67
2019-07-29 12:21:56,35
2019-07-29 12:22:56,8
2019-07-29 12:23:56,37
2019-07-29 12:24:56,22
2019-07-29 12:25:56,31
2019-07-29 12:26:56,0
2019-07-29 12:27:56,0
2019-07-29 12:28:56,0
2019-07-29 12:29:56,0
2019-07-29 12:30:56,0
2019-07-29 12:31:56,6
2019-07-29 12:32:56,0
2019-07-29 12:33:56,0
2019-07-29 12:34:56,0
2019-07-29 12:35:56,0
2019-07-29 12:36:56,12
2019-07-29 12:54:34,39
2019-07-29 12:55:34,8
2019-07-29 12:56:34,22
2019-07-29 12:57:34,13
2019-07-29 12:58:34,23
2019-07-29 12:59:34,41
2019-07-29 13:00:34,21
2019-07-29 13:01:34,1
2019-07-29 13:02:34,0
2019-07-29 13:03:34,0
2019-07-29 13:04:34,13
2019-07-29 13:05:34,0
2019-07-29 13:06:34,0
2019-07-29 13:07:34,0
2019-07-29 13:08:34,0
2019-07-29 13:09:34,0
2019-07-29 13:10:34,2
2019-07-29 13:11:34,0
2019-07-29 13:12:34,1
2019-07-29 13:13:34,0
2019-07-29 13:14:34,0
2019-07-29 13:15:34,0
2019-07-29 13:16:34,0
2019-07-29 13:17:34,0
2019-07-29 13:18:34,52
2019-07-29 13:19:35,0
2019-07-29 13:20:35,9
2019-07-29 13:21:35,7
2019-07-29 13:22:35,23
2019-07-29 13:23:35,12
2019-07-29 13:24:35,0
2019-07-29 13:25:35,8
2019-07-29 13:26:35,7
2019-07-29 13:27:35,0
2019-07-29 13:28:35,0
2019-07-29 13:29:35,14
